node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[3,1]	-0.8616	0.454	-1.7311	0.0552	1.0011	14000
LOR[4,1]	-0.4059	0.2854	-0.9533	0.1719	1.0024	1400
LOR[5,1]	-0.5991	0.2952	-1.1626	-0.0058	1.0013	5900
LOR[6,1]	-0.2158	0.2847	-0.783	0.3297	1.002	1900
LOR[7,1]	-0.5503	0.1828	-0.9155	-0.1976	1.0014	4100
LOR[8,1]	-0.6069	0.1651	-0.9456	-0.2997	1.0019	2000
LOR[3,2]	0.2752	0.4922	-0.7094	1.2502	1.0013	5900
LOR[4,2]	0.7309	0.5135	-0.317	1.7258	1.0029	1000
LOR[5,2]	0.5377	0.5218	-0.5345	1.5264	1.0022	1600
LOR[6,2]	0.921	0.482	-0.077	1.8232	1.0026	1200
LOR[7,2]	0.5865	0.47	-0.3924	1.4741	1.0021	1800
LOR[8,2]	0.5299	0.4645	-0.4377	1.4019	1.0019	2100
LOR[4,3]	0.4558	0.4889	-0.5216	1.3997	1.0018	2400
LOR[5,3]	0.2626	0.5028	-0.7546	1.2193	1.0013	5900
LOR[6,3]	0.6459	0.4544	-0.2738	1.5013	1.0016	3200
LOR[7,3]	0.3113	0.4448	-0.6074	1.1413	1.0012	8700
LOR[8,3]	0.2548	0.4397	-0.6553	1.0727	1.0011	10000
LOR[5,4]	-0.1932	0.3494	-0.8884	0.4907	1.0012	8200
LOR[6,4]	0.1901	0.3519	-0.5058	0.867	1.001	23000
LOR[7,4]	-0.1444	0.2931	-0.741	0.4089	1.0016	3100
LOR[8,4]	-0.201	0.2858	-0.7945	0.3305	1.0018	2400
LOR[6,5]	0.3833	0.3671	-0.351	1.0888	1.0011	14000
LOR[7,5]	0.0488	0.3027	-0.57	0.6212	1.001	27000
LOR[8,5]	-0.0078	0.2969	-0.6198	0.5459	1.0012	9600
LOR[7,6]	-0.3345	0.2881	-0.8944	0.2318	1.0013	5900
LOR[8,6]	-0.3911	0.2721	-0.9319	0.1336	1.0013	5100
LOR[8,7]	-0.0566	0.1762	-0.4112	0.2823	1.0011	15000
LOR[2,1]	-1.1984	0.4821	-2.131	-0.2206	1.002	1900
LOR[3,1]	-0.9237	0.4556	-1.8112	-0.0051	1.0018	2300
LOR[4,1]	-0.4464	0.2917	-0.9952	0.1467	1.0018	2200
LOR[5,1]	-0.6283	0.2957	-1.1917	-0.0351	1.003	960
LOR[6,1]	-0.2581	0.2812	-0.8089	0.2883	1.002	2000
LOR[7,1]	-0.5792	0.1858	-0.9508	-0.2225	1.0027	1100
LOR[8,1]	-0.638	0.1663	-0.9745	-0.3262	1.0018	2300
LOR[3,2]	0.2747	0.4931	-0.7105	1.2359	1.0012	8200
LOR[4,2]	0.752	0.516	-0.3029	1.7415	1.0013	6200
LOR[5,2]	0.5701	0.5249	-0.5055	1.574	1.0011	11000
LOR[6,2]	0.9403	0.4872	-0.0608	1.8525	1.0016	3300
LOR[7,2]	0.6193	0.4748	-0.3601	1.5139	1.0012	7000
LOR[8,2]	0.5604	0.4694	-0.4086	1.438	1.0015	3800
